"","id","samp_date","habitat","area","sex","age","im_name","mean_density","latitude"
"203","LI13","25.09.14","Urban","Lisbon",1,"2yr+","20231230_182316997",18.5729530959138,38.7169
"204","LI13","25.09.14","Urban","Lisbon",1,"2yr+","20231230_182332970",18.2396258659098,38.7169
"205","LI18","25.09.14","Urban","Lisbon",1,"2yr+","20231231_090927804",20.2152972728073,38.7169
"206","LI18","25.09.14","Urban","Lisbon",1,"2yr+","20231231_091028463",21.6511473623106,38.7169
"207","LI18","25.09.14","Urban","Lisbon",1,"2yr+","20231231_091123938",21.5549653158087,38.7169
"208","LI20","26.09.24","Urban","Lisbon",1,"2yr+","20231231_091318875",19.5471926471926,38.7169
"209","LI20","26.09.24","Urban","Lisbon",1,"2yr+","20231231_091354779",18.5339181499412,38.7169
"210","LI20","26.09.24","Urban","Lisbon",1,"2yr+","20231231_091424379",20.8313237709008,38.7169
"211","LI21","26.09.24","Urban","Lisbon",2,"1yr","20231231_091712480",19.5670317634173,38.7169
"212","LI21","26.09.24","Urban","Lisbon",2,"1yr","20231231_091733306",20.1921187927176,38.7169
"213","LI21","26.09.24","Urban","Lisbon",2,"1yr","20231231_091805114",19.5289947669465,38.7169
"214","LI22","26.09.14","Urban","Lisbon",1,"1yr","20231231_092447297",20.2526412157832,38.7169
"215","LI22","26.09.14","Urban","Lisbon",1,"1yr","20231231_092515017",19.8402340479743,38.7169
"216","LI22","26.09.14","Urban","Lisbon",1,"1yr","20231231_092547831",20.2105942767683,38.7169
"217","LI27","27.09.14","Urban","Lisbon",2,"1yr","20231231_092738420",20.7646441758979,38.7169
"218","LI27","27.09.14","Urban","Lisbon",2,"1yr","20231231_092822271",20.2728554426439,38.7169
"219","LI27","27.09.14","Urban","Lisbon",2,"1yr","20231231_092907093",21.2678110409228,38.7169
"220","LI28","27.09.14","Urban","Lisbon",1,"2yr+","20231231_093058267",21.2744378393184,38.7169
"221","LI28","27.09.14","Urban","Lisbon",1,"2yr+","20231231_093121436",18.9223442888095,38.7169
"222","LI28","27.09.14","Urban","Lisbon",1,"2yr+","20231231_093143906",18.1687765186655,38.7169
"223","LI29","27.09.14","Urban","Lisbon",1,"2yr+","20231231_093346798",20.3173025406848,38.7169
"224","LI29","27.09.14","Urban","Lisbon",1,"2yr+","20231231_093403924",19.3735036032742,38.7169
"225","LI29","27.09.14","Urban","Lisbon",1,"2yr+","20231231_093420988",21.8451145973622,38.7169
"226","LI33","27.09.14","Urban","Lisbon",2,"1yr","20231231_093657306",19.8782710444451,38.7169
"227","LI33","27.09.14","Urban","Lisbon",2,"1yr","20231231_093803045",19.5659068021605,38.7169
"228","LI33","27.09.14","Urban","Lisbon",2,"1yr","20231231_093847397",19.2156325751601,38.7169
"229","LI35","30.09.14","Forest","Lisbon",2,"1yr","20231230_174631911",21.32082607717,38.7169
"230","LI35","30.09.14","Forest","Lisbon",2,"1yr","20231230_174647194",21.4463471230291,38.7169
"231","LI35","30.09.14","Forest","Lisbon",2,"1yr","20231230_174730482",20.6860007192951,38.7169
"232","LI37","30.09.14","Forest","Lisbon",2,"1yr","20231231_094012042",20.8301999538941,38.7169
"233","LI37","30.09.14","Forest","Lisbon",2,"1yr","20231231_094057714",19.5669107998413,38.7169
"234","LI37","30.09.14","Forest","Lisbon",2,"1yr","20231231_094117447",23.5218088687258,38.7169
"235","LI38","30.09.14","Forest","Lisbon",1,"2yr+","20231231_094327562",23.3371610416386,38.7169
"236","LI38","30.09.14","Forest","Lisbon",1,"2yr+","20231231_094435381",23.4519631377455,38.7169
"237","LI38","30.09.14","Forest","Lisbon",1,"2yr+","20231231_094452713",22.2197460537012,38.7169
"238","LI39","30.09.14","Forest","Lisbon",1,"2yr+","20231231_094708195",22.0655877864607,38.7169
"239","LI39","30.09.14","Forest","Lisbon",1,"2yr+","20231231_094742263",22.2196117804551,38.7169
"240","LI39","30.09.14","Forest","Lisbon",1,"2yr+","20231231_094835055",19.1755465098748,38.7169
"241","LI40","30.09.14","Forest","Lisbon",1,"2yr+","20231231_095133986",20.458715486014,38.7169
"242","LI40","30.09.14","Forest","Lisbon",1,"2yr+","20231231_095150850",20.832195852898,38.7169
"243","LI40","30.09.14","Forest","Lisbon",1,"2yr+","20231231_095217351",21.0140956757991,38.7169
"244","LI42","30.09.14","Forest","Lisbon",1,"2yr+","20231231_095453039",20.5439154585935,38.7169
"245","LI42","30.09.14","Forest","Lisbon",1,"2yr+","20231231_095504720",20.5439215067723,38.7169
"246","LI42","30.09.14","Forest","Lisbon",1,"2yr+","20231231_095523863",22.0726498476597,38.7169
"247","LI43","30.09.14","Forest","Lisbon",1,"2yr+","20231231_095738702",22.579171230376,38.7169
"248","LI43","30.09.14","Forest","Lisbon",1,"2yr+","20231231_095821528",20.8521548429367,38.7169
"249","LI43","30.09.14","Forest","Lisbon",1,"2yr+","20231231_095918525",19.8993549957405,38.7169
"250","LI46","30.09.14","Forest","Lisbon",1,"1yr","20231231_100106436",20.4991275503323,38.7169
"251","LI46","30.09.14","Forest","Lisbon",1,"1yr","20231231_100123463",19.8174070769346,38.7169
"252","LI46","30.09.14","Forest","Lisbon",1,"1yr","20231231_100157949",21.4747611389177,38.7169
"253","LI57","01.10.14","Forest","Lisbon",2,"2yr+","20231231_100951084",20.9928056311266,38.7169
"254","LI57","01.10.14","Forest","Lisbon",2,"2yr+","20231231_101004676",20.372099674663,38.7169
"255","LI57","01.10.14","Forest","Lisbon",2,"2yr+","20231231_101021897",21.2266459778508,38.7169
"256","LI58","01.10.14","Forest","Lisbon",1,"2yr+","20231230_174343649",18.944554304373,38.7169
"257","LI58","01.10.14","Forest","Lisbon",1,"2yr+","20231230_174432260",20.1705553331149,38.7169
"258","LI58","01.10.14","Forest","Lisbon",1,"2yr+","20231230_174500695",22.0436328974182,38.7169
"259","LI59","01.10.14","Forest","Lisbon",1,"2yr+","20231231_101301499",19.487085791794,38.7169
"260","LI59","01.10.14","Forest","Lisbon",1,"2yr+","20231231_101310342",20.1417490858958,38.7169
"261","LI59","01.10.14","Forest","Lisbon",1,"2yr+","20231231_101319979",20.4610725183014,38.7169
"262","LI60","01.10.14","Forest","Lisbon",1,"2yr+","20231231_101516005",19.3695455619268,38.7169
"263","LI60","01.10.14","Forest","Lisbon",1,"2yr+","20231231_101531380",21.5789221520339,38.7169
"264","LI60","01.10.14","Forest","Lisbon",1,"2yr+","20231231_101550523",20.9790453909071,38.7169
"265","LI63","01.10.14","Forest","Lisbon",1,"1yr","20231230_174915510",19.4103078982597,38.7169
"266","LI63","01.10.14","Forest","Lisbon",1,"1yr","20231230_174935375",19.9994228495304,38.7169
"267","LI63","01.10.14","Forest","Lisbon",1,"1yr","20231230_174947550",18.9408617470621,38.7169
"268","LI64","01.10.14","Forest","Lisbon",1,"2yr+","20231231_101836410",21.2987803854341,38.7169
"269","LI64","01.10.14","Forest","Lisbon",1,"2yr+","20231231_101852281",21.8672025463384,38.7169
"270","LI64","01.10.14","Forest","Lisbon",1,"2yr+","20231231_101908060",19.4141671205094,38.7169
"271","LI67","01.10.14","Forest","Lisbon",2,"1yr","20231231_102057914",19.567914797522,38.7169
